id,,desc,,,id_id,desc2, p ,NA,a
23,,QUITASARRO , $6.43 ,,5,"ES UN AGENTE ÁCIDO, DISEÑADO CON LA FINALIDAD DE ELIMINAR CUALQUIER TIPO DE SARRO. SU EFICIENCIA PERMITE SU USO EN DISTINTAS ÁREAS, TALES COMO: BAÑOS, PAREDES, PISOS, VIDRIOS, ETC. GRACIAS A LAS SALES CUARTENARIAS CONTENIDAS EN SU FORMULACIÓN LO HACEN UN PRODUCTO CON PODER ANTIBACTERIAL. ", $17 ,NA,NA
24,,AEROSOL AROMATIZANTE WIESE 400 ML , $29.00 ,,5,N/A, $47 ,NA,NA
25,,DESENGRASANTE INDUSTRIAL , $17.00 ,,6,"Es el versátil limpiador y desengrasante multiusos con una agradable y suave fragancia, seguro y biodegradable. No es corrosivo, no es abrasivo. Por su química más segura es ideal para usar en todo tipo de labores de mantenimiento y limpieza en la industria.
Limpie eficazmente equipos, pisos, paredes, utensilios y úselo aún en la lavandería. Puede usarse en fregadoras de pisos, tapetes extractores y tanques.", $22 ,NA,NA
26,,DESENGRASANTE MULTIUSOS , $12.94 ,,6,"EN LA MAYORÍA DE LOS CASOS SE UTILIZA PARA LIMPIAR PARRILLAS, COMALES, PAREDES Y CUALQUIER TIPO DE SUPERFICIES DE LA COCINA QUE TENGAN CONTACTO CON LA GRASA.", $17 ,NA,NA
27,,LIMPIA HORNOS MONY , $16.50 ,,6,N/A, $27 ,NA,NA
28,,MAYORCOM, $14.00 ,,6,"ES UN DETERGENTE CONCENTRADO DE USO INDUSTRIAL, LO CUAL PERMITE SER UTILIZADO PARA LAVADO DE SUPERFICIES DONDE SE ENCUENTRAN RESIDUOS DE GRASA, PARA EL LAVADO DE UTENSILIOS DE COCINA, LAVADO DE MANTELERÍA Y ROPA MUY PERCUDIDA. AL SER UN DETERGENTE DE USO INDUSTRIAL SU FORMULACIÓN NO INCLUYE EL ADITAMENTO DE AROMA QUE PUEDEN REPERCUTIR EN ALGÚN PROCESO DE CALIDAD. ", $18 ,NA,NA
29,,CHANNEL , $13.12 ,,7,"ES UN LÍQUIDO DESODORIZANTE UTILIZADO PARA MEJORAR EL AROMA EN ESPACIOS COMO BAÑOS, OFICINAS, SALAS, ETC. SU USO ES INSTITUCIONAL YA QUE ES UTILIZADO EN ESCUELAS, OFICINAS, CASA, RESTAURANTES, ETC. DISPONIBLE EN AROMAS: CHANNEL, ETERNITY, FRESA, LACOSTE Y POLO.", $18 ,NA,NA
30,,ETERNITY , $13.12 ,,7,"ES UN LÍQUIDO DESODORIZANTE UTILIZADO PARA MEJORAR EL AROMA EN ESPACIOS COMO BAÑOS, OFICINAS, SALAS, ETC. SU USO ES INSTITUCIONAL YA QUE ES UTILIZADO EN ESCUELAS, OFICINAS, CASA, RESTAURANTES, ETC. DISPONIBLE EN AROMAS: CHANNEL, ETERNITY, FRESA, LACOSTE Y POLO.", $18 ,NA,NA
31,,LACOSTE , $13.12 ,,7,"ES UN LÍQUIDO DESODORIZANTE UTILIZADO PARA MEJORAR EL AROMA EN ESPACIOS COMO BAÑOS, OFICINAS, SALAS, ETC. SU USO ES INSTITUCIONAL YA QUE ES UTILIZADO EN ESCUELAS, OFICINAS, CASA, RESTAURANTES, ETC. DISPONIBLE EN AROMAS: CHANNEL, ETERNITY, FRESA, LACOSTE Y POLO.", $18 ,NA,NA
32,,CAROLINA HERRERA ,,,7,"ES UN LÍQUIDO DESODORIZANTE UTILIZADO PARA MEJORAR EL AROMA EN ESPACIOS COMO BAÑOS, OFICINAS, SALAS, ETC. SU USO ES INSTITUCIONAL YA QUE ES UTILIZADO EN ESCUELAS, OFICINAS, CASA, RESTAURANTES, ETC. DISPONIBLE EN AROMAS: CHANNEL, ETERNITY, FRESA, LACOSTE Y POLO.", $18 ,NA,NA
